airport,passengers_2019,passengers_2024,recovery_index,max_passengers
SYDNEY,44428845,41460533,0.9331895303602873,44428845
MELBOURNE,37134291,35520012,0.9565286166363053,37134291
BRISBANE,24005706,23253321,0.9686580765423021,24005706
PERTH,12513516,13582297,1.0854101277370805,13582297
ADELAIDE,8516171,8351636,0.9806796974837635,8516171
GOLD COAST,6484603,6206216,0.9570695384127602,6484603
CAIRNS,4778181,4696090,0.982819612735474,4778181
CANBERRA,3238112,2833119,0.8749292797778458,3238112
HOBART,2781739,2749578,0.9884385271227818,2781739
DARWIN,1983490,1817809,0.9164699595158029,1983490
