date,year,month,country,arrivals
1991-01-01,1991,1,New Zealand,26140
1991-02-01,1991,2,New Zealand,26630
1991-03-01,1991,3,New Zealand,37290
1991-04-01,1991,4,New Zealand,32000
1991-05-01,1991,5,New Zealand,44500
1991-06-01,1991,6,New Zealand,37560
1991-07-01,1991,7,New Zealand,47550
1991-08-01,1991,8,New Zealand,55880
1991-09-01,1991,9,New Zealand,49220
1991-10-01,1991,10,New Zealand,47630
1991-11-01,1991,11,New Zealand,41610
1991-12-01,1991,12,New Zealand,34570
1992-01-01,1992,1,New Zealand,20050
1992-02-01,1992,2,New Zealand,24060
1992-03-01,1992,3,New Zealand,31280
1992-04-01,1992,4,New Zealand,33040
1992-05-01,1992,5,New Zealand,40670
1992-06-01,1992,6,New Zealand,33650
1992-07-01,1992,7,New Zealand,42680
1992-08-01,1992,8,New Zealand,44380
1992-09-01,1992,9,New Zealand,41480
1992-10-01,1992,10,New Zealand,47270
1992-11-01,1992,11,New Zealand,44310
1992-12-01,1992,12,New Zealand,44670
1993-01-01,1993,1,New Zealand,26940
1993-02-01,1993,2,New Zealand,28440
1993-03-01,1993,3,New Zealand,35370
1993-04-01,1993,4,New Zealand,39990
1993-05-01,1993,5,New Zealand,46760
1993-06-01,1993,6,New Zealand,38220
1993-07-01,1993,7,New Zealand,45810
1993-08-01,1993,8,New Zealand,54730
1993-09-01,1993,9,New Zealand,52610
1993-10-01,1993,10,New Zealand,47970
1993-11-01,1993,11,New Zealand,38270
1993-12-01,1993,12,New Zealand,44160
1994-01-01,1994,1,New Zealand,27830
1994-02-01,1994,2,New Zealand,24560
1994-03-01,1994,3,New Zealand,37690
1994-04-01,1994,4,New Zealand,36060
1994-05-01,1994,5,New Zealand,37020
1994-06-01,1994,6,New Zealand,40710
1994-07-01,1994,7,New Zealand,45320
1994-08-01,1994,8,New Zealand,53650
1994-09-01,1994,9,New Zealand,49640
1994-10-01,1994,10,New Zealand,45690
1994-11-01,1994,11,New Zealand,36080
1994-12-01,1994,12,New Zealand,46100
1995-01-01,1995,1,New Zealand,32070
1995-02-01,1995,2,New Zealand,25590
1995-03-01,1995,3,New Zealand,37640
1995-04-01,1995,4,New Zealand,44850
1995-05-01,1995,5,New Zealand,38220
1995-06-01,1995,6,New Zealand,46990
1995-07-01,1995,7,New Zealand,54530
1995-08-01,1995,8,New Zealand,56290
1995-09-01,1995,9,New Zealand,55560
1995-10-01,1995,10,New Zealand,50420
1995-11-01,1995,11,New Zealand,44950
1995-12-01,1995,12,New Zealand,51270
1996-01-01,1996,1,New Zealand,39420
1996-02-01,1996,2,New Zealand,37330
1996-03-01,1996,3,New Zealand,55670
1996-04-01,1996,4,New Zealand,58250
1996-05-01,1996,5,New Zealand,45000
1996-06-01,1996,6,New Zealand,63500
1996-07-01,1996,7,New Zealand,68880
1996-08-01,1996,8,New Zealand,64580
1996-09-01,1996,9,New Zealand,71670
1996-10-01,1996,10,New Zealand,64270
1996-11-01,1996,11,New Zealand,53920
1996-12-01,1996,12,New Zealand,49390
1997-01-01,1997,1,New Zealand,46230
1997-02-01,1997,2,New Zealand,42120
1997-03-01,1997,3,New Zealand,54160
1997-04-01,1997,4,New Zealand,56640
1997-05-01,1997,5,New Zealand,48400
1997-06-01,1997,6,New Zealand,55490
1997-07-01,1997,7,New Zealand,80290
1997-08-01,1997,8,New Zealand,59380
1997-09-01,1997,9,New Zealand,65580
1997-10-01,1997,10,New Zealand,64700
1997-11-01,1997,11,New Zealand,52260
1997-12-01,1997,12,New Zealand,60400
1998-01-01,1998,1,New Zealand,42310
1998-02-01,1998,2,New Zealand,38060
1998-03-01,1998,3,New Zealand,47820
1998-04-01,1998,4,New Zealand,60450
1998-05-01,1998,5,New Zealand,56380
1998-06-01,1998,6,New Zealand,68120
1998-07-01,1998,7,New Zealand,78550
1998-08-01,1998,8,New Zealand,66560
1998-09-01,1998,9,New Zealand,67150
1998-10-01,1998,10,New Zealand,70510
1998-11-01,1998,11,New Zealand,53540
1998-12-01,1998,12,New Zealand,59960
1999-01-01,1999,1,New Zealand,47130
1999-02-01,1999,2,New Zealand,40020
1999-03-01,1999,3,New Zealand,55870
1999-04-01,1999,4,New Zealand,59370
1999-05-01,1999,5,New Zealand,52540
1999-06-01,1999,6,New Zealand,67660
1999-07-01,1999,7,New Zealand,67620
1999-08-01,1999,8,New Zealand,72830
1999-09-01,1999,9,New Zealand,75290
1999-10-01,1999,10,New Zealand,71840
1999-11-01,1999,11,New Zealand,60380
1999-12-01,1999,12,New Zealand,58240
2000-01-01,2000,1,New Zealand,47780
2000-02-01,2000,2,New Zealand,45000
2000-03-01,2000,3,New Zealand,61740
2000-04-01,2000,4,New Zealand,78080
2000-05-01,2000,5,New Zealand,60310
2000-06-01,2000,6,New Zealand,74000
2000-07-01,2000,7,New Zealand,82400
2000-08-01,2000,8,New Zealand,73270
2000-09-01,2000,9,New Zealand,73370
2000-10-01,2000,10,New Zealand,74420
2000-11-01,2000,11,New Zealand,72540
2000-12-01,2000,12,New Zealand,74120
2001-01-01,2001,1,New Zealand,50600
2001-02-01,2001,2,New Zealand,49540
2001-03-01,2001,3,New Zealand,62350
2001-04-01,2001,4,New Zealand,74960
2001-05-01,2001,5,New Zealand,63450
2001-06-01,2001,6,New Zealand,77420
2001-07-01,2001,7,New Zealand,74470
2001-08-01,2001,8,New Zealand,74500
2001-09-01,2001,9,New Zealand,84100
2001-10-01,2001,10,New Zealand,70840
2001-11-01,2001,11,New Zealand,63180
2001-12-01,2001,12,New Zealand,69470
2002-01-01,2002,1,New Zealand,48060
2002-02-01,2002,2,New Zealand,44830
2002-03-01,2002,3,New Zealand,67000
2002-04-01,2002,4,New Zealand,60870
2002-05-01,2002,5,New Zealand,60280
2002-06-01,2002,6,New Zealand,70070
2002-07-01,2002,7,New Zealand,70090
2002-08-01,2002,8,New Zealand,75020
2002-09-01,2002,9,New Zealand,80890
2002-10-01,2002,10,New Zealand,78760
2002-11-01,2002,11,New Zealand,66110
2002-12-01,2002,12,New Zealand,68100
2003-01-01,2003,1,New Zealand,47030
2003-02-01,2003,2,New Zealand,45460
2003-03-01,2003,3,New Zealand,58190
2003-04-01,2003,4,New Zealand,68540
2003-05-01,2003,5,New Zealand,67030
2003-06-01,2003,6,New Zealand,67850
2003-07-01,2003,7,New Zealand,82910
2003-08-01,2003,8,New Zealand,72970
2003-09-01,2003,9,New Zealand,85920
2003-10-01,2003,10,New Zealand,83040
2003-11-01,2003,11,New Zealand,77660
2003-12-01,2003,12,New Zealand,82490
2004-01-01,2004,1,New Zealand,53610
2004-02-01,2004,2,New Zealand,59000
2004-03-01,2004,3,New Zealand,76250
2004-04-01,2004,4,New Zealand,88300
