date,year,month,duration,arrivals
1991-01-01,1991,1,Under 1 week,44470
1991-02-01,1991,2,Under 1 week,43590
1991-03-01,1991,3,Under 1 week,42460
1991-04-01,1991,4,Under 1 week,47890
1991-05-01,1991,5,Under 1 week,53400
1991-06-01,1991,6,Under 1 week,51090
1991-07-01,1991,7,Under 1 week,54820
1991-08-01,1991,8,Under 1 week,56410
1991-09-01,1991,9,Under 1 week,55550
1991-10-01,1991,10,Under 1 week,57470
1991-11-01,1991,11,Under 1 week,60870
1991-12-01,1991,12,Under 1 week,58460
1992-01-01,1992,1,Under 1 week,57260
1992-02-01,1992,2,Under 1 week,63810
1992-03-01,1992,3,Under 1 week,61330
1992-04-01,1992,4,Under 1 week,62430
1992-05-01,1992,5,Under 1 week,61780
1992-06-01,1992,6,Under 1 week,63310
1992-07-01,1992,7,Under 1 week,65140
1992-08-01,1992,8,Under 1 week,61710
1992-09-01,1992,9,Under 1 week,60060
1992-10-01,1992,10,Under 1 week,60570
1992-11-01,1992,11,Under 1 week,70960
1992-12-01,1992,12,Under 1 week,71510
1993-01-01,1993,1,Under 1 week,76320
1993-02-01,1993,2,Under 1 week,72100
1993-03-01,1993,3,Under 1 week,75470
1993-04-01,1993,4,Under 1 week,72950
1993-05-01,1993,5,Under 1 week,71120
1993-06-01,1993,6,Under 1 week,72690
1993-07-01,1993,7,Under 1 week,67460
1993-08-01,1993,8,Under 1 week,80980
1993-09-01,1993,9,Under 1 week,72360
1993-10-01,1993,10,Under 1 week,78230
1993-11-01,1993,11,Under 1 week,85020
1993-12-01,1993,12,Under 1 week,80590
1994-01-01,1994,1,Under 1 week,74310
1994-02-01,1994,2,Under 1 week,87870
1994-03-01,1994,3,Under 1 week,89960
1994-04-01,1994,4,Under 1 week,80340
1994-05-01,1994,5,Under 1 week,77130
1994-06-01,1994,6,Under 1 week,81630
1994-07-01,1994,7,Under 1 week,78360
1994-08-01,1994,8,Under 1 week,89770
1994-09-01,1994,9,Under 1 week,77010
1994-10-01,1994,10,Under 1 week,83640
1994-11-01,1994,11,Under 1 week,93900
1994-12-01,1994,12,Under 1 week,86710
1995-01-01,1995,1,Under 1 week,91310
1995-02-01,1995,2,Under 1 week,90850
1995-03-01,1995,3,Under 1 week,100690
1995-04-01,1995,4,Under 1 week,88390
1995-05-01,1995,5,Under 1 week,93720
1995-06-01,1995,6,Under 1 week,90660
1995-07-01,1995,7,Under 1 week,95160
1995-08-01,1995,8,Under 1 week,103030
1995-09-01,1995,9,Under 1 week,85690
1995-10-01,1995,10,Under 1 week,92740
1995-11-01,1995,11,Under 1 week,108560
1995-12-01,1995,12,Under 1 week,103850
1996-01-01,1996,1,Under 1 week,97510
1996-02-01,1996,2,Under 1 week,114170
1996-03-01,1996,3,Under 1 week,108380
1996-04-01,1996,4,Under 1 week,105690
1996-05-01,1996,5,Under 1 week,101920
1996-06-01,1996,6,Under 1 week,99960
1996-07-01,1996,7,Under 1 week,102610
1996-08-01,1996,8,Under 1 week,110210
1996-09-01,1996,9,Under 1 week,96940
1996-10-01,1996,10,Under 1 week,105910
1996-11-01,1996,11,Under 1 week,114090
1996-12-01,1996,12,Under 1 week,116780
1997-01-01,1997,1,Under 1 week,102300
1997-02-01,1997,2,Under 1 week,122090
1997-03-01,1997,3,Under 1 week,123840
1997-04-01,1997,4,Under 1 week,118380
1997-05-01,1997,5,Under 1 week,118260
1997-06-01,1997,6,Under 1 week,103910
1997-07-01,1997,7,Under 1 week,117060
1997-08-01,1997,8,Under 1 week,109860
1997-09-01,1997,9,Under 1 week,109570
1997-10-01,1997,10,Under 1 week,113350
1997-11-01,1997,11,Under 1 week,123120
1997-12-01,1997,12,Under 1 week,101510
1998-01-01,1998,1,Under 1 week,92330
1998-02-01,1998,2,Under 1 week,100150
1998-03-01,1998,3,Under 1 week,101320
1998-04-01,1998,4,Under 1 week,104420
1998-05-01,1998,5,Under 1 week,105070
1998-06-01,1998,6,Under 1 week,101220
1998-07-01,1998,7,Under 1 week,90350
1998-08-01,1998,8,Under 1 week,92760
1998-09-01,1998,9,Under 1 week,93940
1998-10-01,1998,10,Under 1 week,96090
1998-11-01,1998,11,Under 1 week,101460
1998-12-01,1998,12,Under 1 week,92100
1999-01-01,1999,1,Under 1 week,87510
1999-02-01,1999,2,Under 1 week,106200
1999-03-01,1999,3,Under 1 week,107060
1999-04-01,1999,4,Under 1 week,99200
1999-05-01,1999,5,Under 1 week,102240
1999-06-01,1999,6,Under 1 week,97940
1999-07-01,1999,7,Under 1 week,85290
1999-08-01,1999,8,Under 1 week,106520
1999-09-01,1999,9,Under 1 week,102720
1999-10-01,1999,10,Under 1 week,105260
1999-11-01,1999,11,Under 1 week,121650
1999-12-01,1999,12,Under 1 week,95500
2000-01-01,2000,1,Under 1 week,95070
2000-02-01,2000,2,Under 1 week,120950
2000-03-01,2000,3,Under 1 week,128710
2000-04-01,2000,4,Under 1 week,113080
2000-05-01,2000,5,Under 1 week,113480
2000-06-01,2000,6,Under 1 week,106000
2000-07-01,2000,7,Under 1 week,102460
2000-08-01,2000,8,Under 1 week,105550
2000-09-01,2000,9,Under 1 week,93820
2000-10-01,2000,10,Under 1 week,113720
2000-11-01,2000,11,Under 1 week,137490
2000-12-01,2000,12,Under 1 week,115150
2001-01-01,2001,1,Under 1 week,107100
2001-02-01,2001,2,Under 1 week,114340
2001-03-01,2001,3,Under 1 week,126370
2001-04-01,2001,4,Under 1 week,114800
2001-05-01,2001,5,Under 1 week,112870
2001-06-01,2001,6,Under 1 week,109970
2001-07-01,2001,7,Under 1 week,96470
2001-08-01,2001,8,Under 1 week,116170
2001-09-01,2001,9,Under 1 week,96840
2001-10-01,2001,10,Under 1 week,94770
2001-11-01,2001,11,Under 1 week,101390
2001-12-01,2001,12,Under 1 week,109760
2002-01-01,2002,1,Under 1 week,98260
2002-02-01,2002,2,Under 1 week,117420
2002-03-01,2002,3,Under 1 week,126360
2002-04-01,2002,4,Under 1 week,113180
2002-05-01,2002,5,Under 1 week,117800
2002-06-01,2002,6,Under 1 week,98170
2002-07-01,2002,7,Under 1 week,95710
2002-08-01,2002,8,Under 1 week,112760
2002-09-01,2002,9,Under 1 week,102350
2002-10-01,2002,10,Under 1 week,122310
2002-11-01,2002,11,Under 1 week,133220
2002-12-01,2002,12,Under 1 week,120330
2003-01-01,2003,1,Under 1 week,106500
