date,year,month,purpose,arrivals
1991-01-01,1991,1,Convention/conference,1730
1991-02-01,1991,2,Convention/conference,3670
1991-03-01,1991,3,Convention/conference,1990
1991-04-01,1991,4,Convention/conference,2140
1991-05-01,1991,5,Convention/conference,2870
1991-06-01,1991,6,Convention/conference,10450
1991-07-01,1991,7,Convention/conference,3620
1991-08-01,1991,8,Convention/conference,2460
1991-09-01,1991,9,Convention/conference,3640
1991-10-01,1991,10,Convention/conference,3290
1991-11-01,1991,11,Convention/conference,4620
1991-12-01,1991,12,Convention/conference,2290
1992-01-01,1992,1,Convention/conference,1410
1992-02-01,1992,2,Convention/conference,2360
1992-03-01,1992,3,Convention/conference,3360
1992-04-01,1992,4,Convention/conference,2520
1992-05-01,1992,5,Convention/conference,2900
1992-06-01,1992,6,Convention/conference,1530
1992-07-01,1992,7,Convention/conference,3300
1992-08-01,1992,8,Convention/conference,2810
1992-09-01,1992,9,Convention/conference,3840
1992-10-01,1992,10,Convention/conference,3250
1992-11-01,1992,11,Convention/conference,3380
1992-12-01,1992,12,Convention/conference,1670
1993-01-01,1993,1,Convention/conference,1640
1993-02-01,1993,2,Convention/conference,3480
1993-03-01,1993,3,Convention/conference,3160
1993-04-01,1993,4,Convention/conference,4360
1993-05-01,1993,5,Convention/conference,11050
1993-06-01,1993,6,Convention/conference,2450
1993-07-01,1993,7,Convention/conference,4330
1993-08-01,1993,8,Convention/conference,2040
1993-09-01,1993,9,Convention/conference,7000
1993-10-01,1993,10,Convention/conference,4030
1993-11-01,1993,11,Convention/conference,4420
1993-12-01,1993,12,Convention/conference,2240
1994-01-01,1994,1,Convention/conference,1620
1994-02-01,1994,2,Convention/conference,3950
1994-03-01,1994,3,Convention/conference,5890
1994-04-01,1994,4,Convention/conference,5230
1994-05-01,1994,5,Convention/conference,2860
1994-06-01,1994,6,Convention/conference,3070
1994-07-01,1994,7,Convention/conference,5000
1994-08-01,1994,8,Convention/conference,3360
1994-09-01,1994,9,Convention/conference,10960
1994-10-01,1994,10,Convention/conference,10820
1994-11-01,1994,11,Convention/conference,8750
1994-12-01,1994,12,Convention/conference,3420
1995-01-01,1995,1,Convention/conference,3070
1995-02-01,1995,2,Convention/conference,8600
1995-03-01,1995,3,Convention/conference,7560
1995-04-01,1995,4,Convention/conference,5580
1995-05-01,1995,5,Convention/conference,6780
1995-06-01,1995,6,Convention/conference,6590
1995-07-01,1995,7,Convention/conference,9530
1995-08-01,1995,8,Convention/conference,7870
1995-09-01,1995,9,Convention/conference,9450
1995-10-01,1995,10,Convention/conference,12150
1995-11-01,1995,11,Convention/conference,9460
1995-12-01,1995,12,Convention/conference,3070
1996-01-01,1996,1,Convention/conference,4290
1996-02-01,1996,2,Convention/conference,8080
1996-03-01,1996,3,Convention/conference,9210
1996-04-01,1996,4,Convention/conference,13040
1996-05-01,1996,5,Convention/conference,7800
1996-06-01,1996,6,Convention/conference,9250
1996-07-01,1996,7,Convention/conference,10340
1996-08-01,1996,8,Convention/conference,9130
1996-09-01,1996,9,Convention/conference,12330
1996-10-01,1996,10,Convention/conference,12480
1996-11-01,1996,11,Convention/conference,12830
1996-12-01,1996,12,Convention/conference,4110
1997-01-01,1997,1,Convention/conference,5450
1997-02-01,1997,2,Convention/conference,6290
1997-03-01,1997,3,Convention/conference,10300
1997-04-01,1997,4,Convention/conference,8720
1997-05-01,1997,5,Convention/conference,9580
1997-06-01,1997,6,Convention/conference,13790
1997-07-01,1997,7,Convention/conference,11590
1997-08-01,1997,8,Convention/conference,7950
1997-09-01,1997,9,Convention/conference,11220
1997-10-01,1997,10,Convention/conference,11720
1997-11-01,1997,11,Convention/conference,12530
1997-12-01,1997,12,Convention/conference,3500
1998-01-01,1998,1,Convention/conference,4450
1998-02-01,1998,2,Convention/conference,6690
1998-03-01,1998,3,Convention/conference,8760
1998-04-01,1998,4,Convention/conference,7560
1998-05-01,1998,5,Convention/conference,8710
1998-06-01,1998,6,Convention/conference,5200
1998-07-01,1998,7,Convention/conference,10530
1998-08-01,1998,8,Convention/conference,7450
1998-09-01,1998,9,Convention/conference,11080
1998-10-01,1998,10,Convention/conference,15770
1998-11-01,1998,11,Convention/conference,11480
1998-12-01,1998,12,Convention/conference,3960
1999-01-01,1999,1,Convention/conference,4650
1999-02-01,1999,2,Convention/conference,6720
1999-03-01,1999,3,Convention/conference,9150
1999-04-01,1999,4,Convention/conference,13610
1999-05-01,1999,5,Convention/conference,9500
1999-06-01,1999,6,Convention/conference,4960
1999-07-01,1999,7,Convention/conference,10620
1999-08-01,1999,8,Convention/conference,9260
1999-09-01,1999,9,Convention/conference,11470
1999-10-01,1999,10,Convention/conference,12150
1999-11-01,1999,11,Convention/conference,11380
1999-12-01,1999,12,Convention/conference,3600
2000-01-01,2000,1,Convention/conference,6500
2000-02-01,2000,2,Convention/conference,8430
2000-03-01,2000,3,Convention/conference,10390
2000-04-01,2000,4,Convention/conference,11100
2000-05-01,2000,5,Convention/conference,11590
2000-06-01,2000,6,Convention/conference,9760
2000-07-01,2000,7,Convention/conference,12930
2000-08-01,2000,8,Convention/conference,8750
2000-09-01,2000,9,Convention/conference,12810
2000-10-01,2000,10,Convention/conference,17380
2000-11-01,2000,11,Convention/conference,17460
2000-12-01,2000,12,Convention/conference,8950
2001-01-01,2001,1,Convention/conference,6090
2001-02-01,2001,2,Convention/conference,9060
2001-03-01,2001,3,Convention/conference,13460
2001-04-01,2001,4,Convention/conference,12230
2001-05-01,2001,5,Convention/conference,13110
2001-06-01,2001,6,Convention/conference,8800
2001-07-01,2001,7,Convention/conference,14740
2001-08-01,2001,8,Convention/conference,8300
2001-09-01,2001,9,Convention/conference,16840
2001-10-01,2001,10,Convention/conference,14070
2001-11-01,2001,11,Convention/conference,11020
2001-12-01,2001,12,Convention/conference,7910
2002-01-01,2002,1,Convention/conference,4910
2002-02-01,2002,2,Convention/conference,8640
2002-03-01,2002,3,Convention/conference,10010
2002-04-01,2002,4,Convention/conference,15730
2002-05-01,2002,5,Convention/conference,15250
2002-06-01,2002,6,Convention/conference,7270
2002-07-01,2002,7,Convention/conference,13950
2002-08-01,2002,8,Convention/conference,9160
2002-09-01,2002,9,Convention/conference,13850
2002-10-01,2002,10,Convention/conference,14190
2002-11-01,2002,11,Convention/conference,11970
2002-12-01,2002,12,Convention/conference,5000
2003-01-01,2003,1,Convention/conference,5540
2003-02-01,2003,2,Convention/conference,9450
2003-03-01,2003,3,Convention/conference,11070
2003-04-01,2003,4,Convention/conference,8280
2003-05-01,2003,5,Convention/conference,14800
2003-06-01,2003,6,Convention/conference,8750
2003-07-01,2003,7,Convention/conference,17280
2003-08-01,2003,8,Convention/conference,14470
2003-09-01,2003,9,Convention/conference,18260
2003-10-01,2003,10,Convention/conference,12380
2003-11-01,2003,11,Convention/conference,13670
2003-12-01,2003,12,Convention/conference,8580
2004-01-01,2004,1,Convention/conference,4720
2004-02-01,2004,2,Convention/conference,12110
2004-03-01,2004,3,Convention/conference,13140
2004-04-01,2004,4,Convention/conference,10720
2004-05-01,2004,5,Convention/conference,12620
2004-06-01,2004,6,Convention/conference,10340
2004-07-01,2004,7,Convention/conference,15770
2004-08-01,2004,8,Convention/conference,17020
2004-09-01,2004,9,Convention/conference,18140
2004-10-01,2004,10,Convention/conference,16920
2004-11-01,2004,11,Convention/conference,17700
2004-12-01,2004,12,Convention/conference,7760
2005-01-01,2005,1,Convention/conference,14080
2005-02-01,2005,2,Convention/conference,11360
2005-03-01,2005,3,Convention/conference,15520
2005-04-01,2005,4,Convention/conference,13440
2005-05-01,2005,5,Convention/conference,14550
2005-06-01,2005,6,Convention/conference,10250
2005-07-01,2005,7,Convention/conference,16150
2005-08-01,2005,8,Convention/conference,22740
2005-09-01,2005,9,Convention/conference,18690
2005-10-01,2005,10,Convention/conference,16290
2005-11-01,2005,11,Convention/conference,22860
2005-12-01,2005,12,Convention/conference,6770
2006-01-01,2006,1,Convention/conference,6980
2006-02-01,2006,2,Convention/conference,14020
2006-03-01,2006,3,Convention/conference,13730
