country,id,total_arrivals
Bangladesh,50,24690
Brazil,76,44440
Canada,124,171620
China,156,1040140
France,250,145300
Germany,276,179500
Hong Kong,344,249090
India,356,451530
Indonesia,360,242080
Iran,364,10150
Ireland,372,95890
Israel,376,16370
Italy,380,76860
Japan,392,423120
"Korea, South",410,398440
Malaysia,458,213680
Nepal,524,61960
New Zealand,554,1435050
Philippines,608,190660
Saudi Arabia,682,12670
Singapore,702,443710
South Africa,710,50320
Spain,724,51140
Taiwan,158,193490
Thailand,764,98410
"United Kingdom",826,758290
United Arab Emirates,784,42660
United States of America,840,744970
Vietnam,704,164990
