year,country,total_arrivals,rank
2019,China,1438670,1
2019,Hong Kong,315150,9
2019,India,399300,7
2019,Japan,498640,5
2019,"Korea, South",280480,10
2019,Malaysia,384900,8
2019,New Zealand,1433770,2
2019,Singapore,478500,6
2019,"UK, CIs & IOM",715820,4
2019,United States of America,817990,3
2020,China,207690,2
2020,Germany,53030,10
2020,Hong Kong,60930,7
2020,India,83960,6
2020,Japan,91720,5
2020,"Korea, South",53520,9
2020,New Zealand,242440,1
2020,Singapore,58320,8
2020,"UK, CIs & IOM",200800,3
2020,United States of America,188680,4
2021,Canada,3280,8
2021,China,6550,6
2021,Germany,3120,9
2021,Hong Kong,3090,10
2021,India,12960,5
2021,New Zealand,96760,1
2021,Philippines,4460,7
2021,Singapore,15830,4
2021,"UK, CIs & IOM",21890,2
2021,United States of America,16760,3
2024,China,891550,2
2024,Hong Kong,216240,10
2024,India,443460,5
2024,Indonesia,224250,9
2024,Japan,397330,7
2024,"Korea, South",374560,8
2024,New Zealand,1392960,1
2024,Singapore,417900,6
2024,"UK, CIs & IOM",640760,4
2024,United States of America,712380,3
2025,China,1040140,2
2025,Hong Kong,249090,9
2025,India,451530,5
2025,Indonesia,242080,10
2025,Japan,423120,7
2025,"Korea, South",398440,8
2025,New Zealand,1435050,1
2025,Singapore,443710,6
2025,"UK, CIs & IOM",758290,3
2025,United States of America,744970,4
